equipment_type,manufacturer,condition,age_years,operating_hours,original_value,listing_price,location,seller_type,has_maintenance_records,has_warranty,photos_count,description_length,listing_month,price_to_original_ratio,hours_per_year,time_to_sale_days
Dump Truck,Liebherr,Good,16.8,50271,355759,59033,Queensland,Equipment Dealer,True,False,6,169,9,0.166,2985,10.3
Conveyor System,Caterpillar,Good,6.1,47090,1596562,775706,Western Australia,Mining Company,False,True,7,233,5,0.486,7687,51.1
Crusher,Liebherr,Good,7.6,30962,993855,434062,Nevada USA,Equipment Dealer,True,False,8,204,8,0.437,4080,23.2
Bulldozer,Generic,Good,5.3,8393,460115,232983,Western Australia,Construction Company,True,False,13,186,11,0.506,1575,16.0
Conveyor System,Caterpillar,Fair,8.6,57331,1354303,381110,Nevada USA,Rental Company,True,True,9,228,5,0.281,6647,17.8
Excavator,Caterpillar,Excellent,2.6,5722,611461,436052,Queensland,Rental Company,False,True,9,228,6,0.713,2226,17.7
Conveyor System,Komatsu,Good,6.3,44252,1367457,641859,New South Wales,Mining Company,True,False,7,194,1,0.469,7045,29.0
Conveyor System,JCB,Fair,10.5,67428,918714,241982,Western Australia,Rental Company,True,False,14,123,3,0.263,6450,39.7
Dump Truck,Liebherr,Good,2.7,8331,449011,249394,Alberta Canada,Construction Company,True,False,6,170,5,0.555,3138,44.9
Bulldozer,Volvo,Fair,5.9,11238,495188,186790,South Africa,Equipment Dealer,True,False,11,206,2,0.377,1901,24.6
Crusher,Komatsu,Good,13.5,56065,867854,193181,Chile,Rental Company,True,True,8,308,11,0.223,4143,20.5
Crusher,Volvo,Good,5.1,19550,691298,335847,South Africa,Rental Company,False,False,6,234,4,0.486,3834,37.4
Excavator,Liebherr,Needs Repair,3.8,8271,558623,162563,New South Wales,Equipment Dealer,False,True,11,273,5,0.291,2152,21.9
Crusher,Liebherr,Fair,4.3,17010,1019472,406417,Nevada USA,Mining Company,True,True,3,227,4,0.399,3915,22.5
Wheel Loader,Volvo,Good,1.7,2873,326075,230239,Chile,Equipment Dealer,True,True,14,164,3,0.706,1644,29.7
Wheel Loader,JCB,Good,19.5,33347,323399,48290,New South Wales,Rental Company,True,True,5,189,6,0.149,1713,8.3
Dump Truck,Caterpillar,Fair,24.6,83535,525580,41536,Nevada USA,Construction Company,True,False,11,320,6,0.079,3390,21.9
Dump Truck,Caterpillar,Good,3.6,13504,483222,245700,Alberta Canada,Mining Company,True,False,7,324,3,0.508,3737,21.3
Excavator,Caterpillar,Good,11.1,18490,587932,184855,South Africa,Equipment Dealer,False,False,7,230,12,0.314,1658,13.3
Dump Truck,Komatsu,Good,3.1,10713,350971,204385,Alberta Canada,Mining Company,True,False,9,259,4,0.582,3425,53.2
Crusher,Caterpillar,Fair,11.9,40499,1047868,243697,South Africa,Mining Company,False,True,11,170,12,0.233,3390,18.6
Bulldozer,Caterpillar,Fair,11.2,15859,718106,158135,New South Wales,Rental Company,True,False,6,206,10,0.22,1412,22.3
Wheel Loader,Caterpillar,Excellent,1.3,2777,420000,314582,Western Australia,Rental Company,True,False,7,237,8,0.749,2210,25.3
Bulldozer,Hitachi,Good,7.3,13276,435712,171393,Alberta Canada,Mining Company,True,True,6,185,4,0.393,1818,21.9
Dump Truck,Liebherr,Fair,7.3,23616,490774,153615,Queensland,Mining Company,False,False,9,215,5,0.313,3230,22.0
Crusher,Caterpillar,Needs Repair,5.9,21440,880406,202067,Nevada USA,Mining Company,True,False,8,242,11,0.23,3662,45.5
Dump Truck,Komatsu,Good,3.7,11748,401653,201430,Nevada USA,Equipment Dealer,False,True,10,219,10,0.502,3166,15.3
Excavator,Komatsu,Good,3.9,8446,604202,321912,New South Wales,Equipment Dealer,True,False,13,135,7,0.533,2188,11.9
Bulldozer,Caterpillar,Good,25.0,45542,599215,56130,Alberta Canada,Mining Company,True,False,9,212,4,0.094,1822,18.2
Crusher,Hitachi,Needs Repair,1.6,5499,665666,244777,Chile,Mining Company,False,False,9,183,8,0.368,3444,69.5
Dump Truck,JCB,Fair,8.0,26367,335852,105148,Western Australia,Mining Company,False,True,9,195,3,0.313,3305,26.3
Excavator,Komatsu,Good,18.1,42431,528540,80431,Alberta Canada,Mining Company,False,False,6,159,5,0.152,2349,19.7
Bulldozer,Caterpillar,Fair,1.3,1742,577048,308331,South Africa,Mining Company,False,False,5,176,7,0.534,1388,49.2
Bulldozer,Generic,Fair,24.3,33578,477260,34998,Nevada USA,Mining Company,False,False,4,202,8,0.073,1383,13.2
Excavator,Komatsu,Fair,2.0,3556,575133,294454,Chile,Mining Company,True,True,8,193,10,0.512,1773,26.1
Crusher,Liebherr,Needs Repair,11.6,38588,1002019,149392,Alberta Canada,Mining Company,False,False,10,171,1,0.149,3318,34.4
Dump Truck,Komatsu,Good,12.2,33597,476567,128316,Alberta Canada,Mining Company,True,False,13,120,4,0.269,2758,19.2
Dump Truck,Caterpillar,Good,10.8,41756,407316,130556,Chile,Mining Company,True,False,13,295,11,0.321,3854,13.9
Excavator,Hitachi,Good,3.6,6075,535612,320023,New South Wales,Rental Company,False,False,5,152,10,0.597,1704,26.0
Excavator,Hitachi,Needs Repair,1.3,1834,422013,139432,Western Australia,Mining Company,True,False,7,153,2,0.33,1455,38.3
Dump Truck,JCB,Fair,4.8,14979,292724,112307,Western Australia,Mining Company,False,False,3,161,2,0.384,3133,33.7
Wheel Loader,Volvo,Fair,3.4,5502,269052,117563,Queensland,Equipment Dealer,True,False,12,271,3,0.437,1600,45.3
Crusher,Caterpillar,Good,8.9,36678,1137064,381087,Chile,Construction Company,True,True,11,258,2,0.335,4128,22.6
Wheel Loader,Komatsu,Good,1.8,3576,368127,224139,New South Wales,Equipment Dealer,True,False,7,104,2,0.609,1944,24.2
Wheel Loader,Caterpillar,Excellent,17.4,26890,366812,74098,New South Wales,Equipment Dealer,True,False,9,207,1,0.202,1548,9.9
Dump Truck,Komatsu,Fair,2.0,5267,438337,213806,South Africa,Mining Company,True,True,5,229,8,0.488,2591,16.9
Dump Truck,Caterpillar,Fair,2.7,8168,544724,258409,Queensland,Rental Company,True,True,11,228,8,0.474,3078,22.8
Wheel Loader,Komatsu,Needs Repair,14.9,35472,303589,36157,Western Australia,Mining Company,True,False,10,257,1,0.119,2382,31.8
Excavator,Caterpillar,Good,18.5,38442,579212,90015,Western Australia,Mining Company,False,False,9,189,9,0.155,2080,13.2
Dump Truck,Volvo,Good,5.6,17159,350734,162820,Queensland,Rental Company,True,False,9,75,4,0.464,3072,21.8
Wheel Loader,Caterpillar,Fair,14.4,31206,438179,75207,South Africa,Rental Company,True,False,9,87,12,0.172,2169,17.4
Wheel Loader,Caterpillar,Excellent,4.2,7764,443749,256159,New South Wales,Mining Company,True,False,15,152,9,0.577,1845,17.8
Conveyor System,JCB,Fair,22.7,113235,1293384,121546,New South Wales,Equipment Dealer,True,False,8,176,6,0.094,4992,16.2
Dump Truck,Komatsu,Fair,20.5,70994,389302,45463,Nevada USA,Rental Company,False,False,5,169,11,0.117,3459,20.0
Conveyor System,Caterpillar,Needs Repair,2.6,14368,1585653,526214,Western Australia,Equipment Dealer,True,False,8,212,2,0.332,5500,54.1
Wheel Loader,Caterpillar,Fair,1.8,4595,459496,239008,Chile,Equipment Dealer,True,False,12,174,2,0.52,2571,27.0
Crusher,Komatsu,Good,6.5,32775,1011107,462733,Chile,Construction Company,True,True,12,148,5,0.458,5070,25.2
Dump Truck,Komatsu,Fair,15.4,40715,431584,77204,Queensland,Equipment Dealer,False,False,11,214,12,0.179,2648,12.7
Excavator,Komatsu,Fair,7.5,14137,502813,152634,Alberta Canada,Construction Company,False,False,12,142,11,0.304,1886,13.4
Conveyor System,Hitachi,Needs Repair,1.5,7048,1010550,370398,New South Wales,Equipment Dealer,True,True,6,182,2,0.367,4762,32.1
Crusher,Caterpillar,Fair,25.0,129989,972856,77334,Western Australia,Equipment Dealer,True,True,9,189,6,0.079,5200,18.7
Wheel Loader,Volvo,Fair,12.1,25921,351168,79392,Nevada USA,Equipment Dealer,True,False,9,181,8,0.226,2134,20.4
Dump Truck,Komatsu,Good,1.6,5534,393244,264046,Chile,Rental Company,True,False,11,172,2,0.671,3491,38.9
Crusher,Hitachi,Good,13.5,43494,823431,220419,South Africa,Equipment Dealer,True,False,11,190,8,0.268,3230,19.8
Bulldozer,Caterpillar,Needs Repair,13.7,23441,536975,72205,Nevada USA,Equipment Dealer,True,True,8,202,5,0.134,1706,15.4
Excavator,Caterpillar,Good,4.1,10353,602440,336408,Nevada USA,Equipment Dealer,True,True,12,240,6,0.558,2548,8.2
Excavator,Liebherr,Good,14.7,23880,487996,96715,South Africa,Mining Company,False,True,7,248,1,0.198,1621,13.8
Conveyor System,Komatsu,Good,13.5,90650,1653527,362906,Chile,Construction Company,True,False,12,244,2,0.219,6710,22.9
Excavator,Generic,Good,13.8,21431,345016,78116,New South Wales,Mining Company,True,True,11,226,8,0.226,1553,9.3
Excavator,Caterpillar,Fair,1.1,2522,543661,302158,Chile,Equipment Dealer,True,False,10,180,9,0.556,2380,46.4
Crusher,Caterpillar,Good,8.3,26583,848871,303636,Queensland,Equipment Dealer,True,False,12,242,5,0.358,3185,21.6
Conveyor System,Caterpillar,Good,5.3,24738,1444189,721554,Nevada USA,Equipment Dealer,False,True,3,120,9,0.5,4702,26.7
Bulldozer,Volvo,Good,2.0,4710,463636,278779,New South Wales,Mining Company,True,False,9,281,5,0.601,2300,37.0
Dump Truck,Caterpillar,Excellent,3.3,7695,466570,299713,South Africa,Mining Company,True,False,10,176,5,0.642,2358,23.7
Excavator,Generic,Good,2.7,6497,389217,214097,Western Australia,Construction Company,False,False,9,238,3,0.55,2421,49.3
Wheel Loader,Caterpillar,Fair,4.3,10849,423906,183041,Queensland,Mining Company,True,False,3,176,2,0.432,2522,36.8
Wheel Loader,Hitachi,Excellent,9.6,22127,259955,98603,South Africa,Construction Company,True,False,8,274,6,0.379,2299,18.5
Wheel Loader,Hitachi,Needs Repair,22.5,56442,344830,20504,South Africa,Mining Company,True,False,6,221,7,0.059,2513,12.5
Bulldozer,Liebherr,Good,6.4,8554,501249,213180,Western Australia,Mining Company,False,True,5,167,4,0.425,1344,23.0
Excavator,JCB,Excellent,9.5,17640,457023,189941,South Africa,Mining Company,True,False,10,189,8,0.416,1861,8.4
Crusher,Liebherr,Excellent,14.1,50645,816713,221581,Queensland,Mining Company,True,True,8,229,2,0.271,3593,14.2
Excavator,Komatsu,Good,10.7,27393,504034,152193,Nevada USA,Mining Company,False,True,10,111,6,0.302,2564,14.4
Bulldozer,Caterpillar,Excellent,2.1,3632,627865,440396,Alberta Canada,Rental Company,False,False,5,139,6,0.701,1749,17.1
Excavator,Volvo,Good,4.4,9971,479561,246872,New South Wales,Rental Company,True,False,5,179,10,0.515,2246,21.5
Crusher,Liebherr,Fair,1.1,3437,736587,419515,Western Australia,Equipment Dealer,False,False,5,177,5,0.57,3057,42.4
Dump Truck,Caterpillar,Good,17.6,48088,467290,79390,New South Wales,Equipment Dealer,True,False,6,212,1,0.17,2725,10.8
Bulldozer,Komatsu,Fair,12.6,27018,672932,144711,Alberta Canada,Rental Company,True,False,8,299,8,0.215,2137,31.1
Conveyor System,Komatsu,Good,6.9,42392,1389793,528641,Western Australia,Equipment Dealer,False,False,11,182,3,0.38,6142,27.2
Bulldozer,Komatsu,Fair,5.5,10084,706904,257584,Alberta Canada,Equipment Dealer,True,False,8,185,6,0.364,1836,31.5
Crusher,Volvo,Fair,6.6,27194,921524,301635,Western Australia,Rental Company,False,False,10,235,5,0.327,4092,56.6
Crusher,Caterpillar,Good,2.0,7834,934647,590989,New South Wales,Construction Company,True,True,9,259,1,0.632,3835,68.6
Dump Truck,Caterpillar,Good,2.2,5118,385615,228460,South Africa,Rental Company,False,False,10,171,2,0.592,2338,63.5
Dump Truck,Komatsu,Excellent,5.5,21171,407080,249655,Queensland,Mining Company,True,False,11,221,2,0.613,3870,20.2
Bulldozer,Komatsu,Good,9.7,17907,527836,171380,Western Australia,Construction Company,False,False,8,213,7,0.325,1855,18.5
Excavator,Komatsu,Excellent,13.5,27383,420011,111812,Western Australia,Mining Company,True,False,7,244,10,0.266,2035,17.2
Dump Truck,Hitachi,Fair,1.3,4095,317418,187399,Chile,Mining Company,True,False,6,210,10,0.59,3084,34.0
Dump Truck,JCB,Good,7.3,27847,416843,159026,Chile,Equipment Dealer,True,False,8,217,5,0.382,3822,20.2
Excavator,JCB,Needs Repair,1.7,4201,408778,142284,Queensland,Mining Company,False,True,10,165,6,0.348,2435,24.3
Excavator,Volvo,Good,12.6,24416,443394,114952,South Africa,Mining Company,True,True,6,183,4,0.259,1934,13.4
Excavator,Komatsu,Good,25.0,48012,576625,58537,New South Wales,Construction Company,True,False,13,132,7,0.102,1920,15.1
Dump Truck,Komatsu,Good,7.0,22107,448653,194250,Alberta Canada,Equipment Dealer,False,False,12,174,9,0.433,3179,13.6
Dump Truck,Caterpillar,Needs Repair,7.1,25732,427198,91569,South Africa,Rental Company,True,True,7,159,8,0.214,3634,26.7
Bulldozer,Komatsu,Fair,23.0,53523,573252,55557,New South Wales,Equipment Dealer,True,False,5,204,10,0.097,2328,17.9
Wheel Loader,Volvo,Good,18.3,34304,320026,55000,Chile,Mining Company,True,False,7,134,7,0.172,1873,17.2
Dump Truck,Liebherr,Good,16.9,45151,375390,72002,Nevada USA,Construction Company,False,False,14,148,10,0.192,2665,19.7
Conveyor System,Caterpillar,Good,5.2,24797,1268708,671038,New South Wales,Rental Company,True,False,6,174,10,0.529,4813,54.5
Wheel Loader,Komatsu,Good,22.6,43914,301558,35588,Queensland,Mining Company,False,True,9,293,5,0.118,1944,19.5
Dump Truck,Caterpillar,Good,14.2,54477,480797,116703,Nevada USA,Mining Company,True,False,10,159,3,0.243,3840,21.2
Conveyor System,Caterpillar,Good,10.0,61703,1162636,344607,South Africa,Rental Company,True,True,16,211,5,0.296,6149,18.4
Bulldozer,JCB,Excellent,5.2,11654,464983,270004,South Africa,Rental Company,True,True,9,127,6,0.581,2260,42.0
Bulldozer,Liebherr,Good,5.8,11882,549676,237354,South Africa,Equipment Dealer,False,True,9,242,8,0.432,2032,14.5
Bulldozer,Liebherr,Good,8.1,14144,559810,207224,New South Wales,Construction Company,True,False,14,206,3,0.37,1739,41.7
Dump Truck,Caterpillar,Good,3.1,9727,510386,312678,Nevada USA,Mining Company,True,True,10,183,5,0.613,3143,28.3
Wheel Loader,Caterpillar,Fair,5.3,9004,371698,134759,Nevada USA,Construction Company,True,True,8,182,10,0.363,1704,21.5
Dump Truck,Caterpillar,Needs Repair,21.3,70836,450144,28098,Western Australia,Mining Company,False,True,8,190,1,0.062,3332,23.0
Excavator,Caterpillar,Good,7.3,16653,562681,225017,South Africa,Mining Company,True,False,9,159,11,0.4,2287,12.5
Bulldozer,Liebherr,Good,1.6,3634,634543,444890,New South Wales,Equipment Dealer,True,True,11,293,6,0.701,2279,19.8
Crusher,Hitachi,Fair,4.9,19771,885995,378922,Alberta Canada,Equipment Dealer,True,True,14,173,11,0.428,4008,12.6
Crusher,Caterpillar,Good,18.6,76923,992022,157638,Alberta Canada,Mining Company,True,False,8,159,3,0.159,4145,19.4
Wheel Loader,Generic,Fair,8.4,23952,231969,62982,Western Australia,Construction Company,False,False,10,138,5,0.272,2848,40.8
Excavator,JCB,Fair,14.2,26372,422685,83526,New South Wales,Rental Company,False,False,5,303,6,0.198,1861,20.0
Crusher,Caterpillar,Fair,6.1,27996,821775,306466,Queensland,Construction Company,True,True,4,150,4,0.373,4585,39.8
Excavator,Volvo,Good,3.0,5266,412076,259194,Western Australia,Mining Company,True,False,7,114,3,0.629,1734,35.7
Wheel Loader,Komatsu,Excellent,23.0,64365,420492,59552,Chile,Construction Company,True,True,8,239,2,0.142,2801,12.3
Crusher,Volvo,Fair,1.5,6226,863200,415590,Alberta Canada,Mining Company,True,False,14,147,2,0.481,4233,48.2
Excavator,Liebherr,Fair,4.7,10863,493028,196453,Western Australia,Rental Company,True,True,8,218,9,0.398,2291,14.0
Bulldozer,Hitachi,Fair,21.9,29561,472414,48215,South Africa,Equipment Dealer,True,True,6,125,5,0.102,1352,12.5
Dump Truck,Caterpillar,Good,4.8,17176,531305,250983,Chile,Mining Company,True,True,4,209,11,0.472,3573,11.7
Crusher,Caterpillar,Good,7.2,35044,805482,314164,Queensland,Equipment Dealer,False,False,8,242,4,0.39,4866,13.7
Excavator,Komatsu,Good,7.9,15210,417591,178163,Queensland,Equipment Dealer,False,False,8,113,2,0.427,1926,27.6
Dump Truck,JCB,Good,2.1,6294,383185,257564,South Africa,Mining Company,True,True,11,146,2,0.672,2998,22.8
Conveyor System,Komatsu,Good,11.8,79409,1595655,465156,Western Australia,Equipment Dealer,True,False,10,98,2,0.292,6706,27.7
Conveyor System,Volvo,Good,1.1,5298,1430441,885167,Western Australia,Mining Company,True,False,8,137,9,0.619,4817,33.4
Bulldozer,Volvo,Good,15.4,19957,495414,102248,Alberta Canada,Mining Company,True,False,5,159,6,0.206,1296,31.3
Conveyor System,Komatsu,Fair,8.3,62440,1323904,383720,Alberta Canada,Mining Company,True,False,11,222,3,0.29,7537,48.5
Crusher,Caterpillar,Fair,4.1,11643,1091862,506081,New South Wales,Mining Company,False,False,6,112,10,0.464,2832,51.3
Bulldozer,Volvo,Fair,2.3,5056,479557,257469,Western Australia,Mining Company,True,False,5,181,3,0.537,2172,38.6
Dump Truck,Komatsu,Good,4.1,13710,387333,214844,Alberta Canada,Mining Company,True,True,7,185,11,0.555,3336,24.0
Wheel Loader,Caterpillar,Fair,2.4,5264,398922,194728,Western Australia,Mining Company,True,False,7,188,10,0.488,2219,32.1
Wheel Loader,Hitachi,Good,20.2,52133,352076,53659,South Africa,Construction Company,True,False,7,217,9,0.152,2582,22.7
Excavator,Komatsu,Excellent,2.7,3794,451532,313633,Queensland,Mining Company,True,False,8,203,10,0.695,1409,20.8
Wheel Loader,Caterpillar,Good,13.4,35875,323346,77292,South Africa,Mining Company,False,False,6,206,12,0.239,2684,23.7
Dump Truck,Generic,Fair,22.3,78491,298692,26271,Chile,Construction Company,True,False,13,269,10,0.088,3520,13.1
Crusher,JCB,Fair,21.2,105575,768276,74246,Nevada USA,Mining Company,True,False,9,216,3,0.097,4979,25.1
Crusher,Hitachi,Needs Repair,5.1,16686,816292,197401,Alberta Canada,Mining Company,True,False,4,138,9,0.242,3295,69.8
Wheel Loader,Caterpillar,Good,25.0,58107,430257,38242,Queensland,Mining Company,True,False,14,186,11,0.089,2324,15.6
Wheel Loader,Komatsu,Good,18.1,30510,366075,57149,South Africa,Mining Company,True,False,12,238,2,0.156,1689,9.3
Excavator,Generic,Fair,4.6,9059,330043,137806,Queensland,Mining Company,True,False,12,234,3,0.418,1978,21.7
Excavator,Generic,Good,8.3,13182,329670,126832,Chile,Mining Company,True,False,10,180,3,0.385,1592,17.2
Conveyor System,Caterpillar,Good,23.2,117097,1172036,133977,Alberta Canada,Mining Company,True,False,6,289,8,0.114,5038,16.5
Excavator,Komatsu,Good,6.2,13048,532192,216909,South Africa,Equipment Dealer,False,False,9,192,8,0.408,2120,13.2
Conveyor System,Hitachi,Fair,3.5,16095,967708,400154,Chile,Mining Company,False,False,9,224,3,0.414,4621,64.1
Wheel Loader,Caterpillar,Needs Repair,1.8,4476,346036,116225,South Africa,Rental Company,False,False,13,261,6,0.336,2441,62.6
Dump Truck,Caterpillar,Excellent,14.8,54556,407606,98813,Queensland,Equipment Dealer,True,False,11,225,5,0.242,3695,11.1
Excavator,Volvo,Good,5.8,9035,529682,247784,New South Wales,Equipment Dealer,True,False,7,212,1,0.468,1553,11.2
Excavator,JCB,Good,3.8,9093,420398,208579,New South Wales,Mining Company,False,False,7,194,6,0.496,2421,33.5
Conveyor System,Caterpillar,Excellent,1.6,8052,1171172,922231,Alberta Canada,Rental Company,True,True,7,181,5,0.787,5004,90.9
Wheel Loader,JCB,Excellent,1.6,3138,271506,203889,Queensland,Mining Company,True,True,7,247,6,0.751,1969,11.8
Bulldozer,Hitachi,Fair,18.7,42212,465529,58048,South Africa,Rental Company,True,True,6,255,12,0.125,2262,9.0
Dump Truck,Liebherr,Excellent,3.4,10490,374114,262621,Alberta Canada,Mining Company,False,True,6,171,5,0.702,3083,41.5
Crusher,Caterpillar,Good,8.3,28074,992340,363234,Chile,Equipment Dealer,True,False,13,211,5,0.366,3371,38.1
Bulldozer,JCB,Excellent,7.8,15873,542428,275357,Western Australia,Mining Company,False,True,8,280,6,0.508,2035,24.7
Bulldozer,Generic,Fair,25.0,57644,414259,32125,Queensland,Rental Company,True,True,8,252,2,0.078,2306,15.4
Crusher,Liebherr,Good,1.9,9545,716485,490773,Western Australia,Mining Company,True,True,10,255,8,0.685,4949,25.1
Dump Truck,Caterpillar,Fair,1.6,3982,381745,182701,Alberta Canada,Equipment Dealer,True,True,10,163,6,0.479,2466,19.5
Conveyor System,Caterpillar,Good,10.4,58239,1658712,574121,Nevada USA,Mining Company,True,True,11,227,8,0.346,5615,31.7
Bulldozer,Komatsu,Needs Repair,3.3,5279,708759,228747,South Africa,Equipment Dealer,True,False,11,68,8,0.323,1602,21.5
Conveyor System,Komatsu,Good,5.7,24202,1177472,587277,Chile,Equipment Dealer,True,False,10,210,12,0.499,4244,21.0
Dump Truck,Hitachi,Good,25.0,72283,402736,34186,Nevada USA,Equipment Dealer,True,True,9,215,5,0.085,2891,9.1
Conveyor System,Volvo,Fair,7.6,32985,1477689,484231,Alberta Canada,Mining Company,False,False,8,220,3,0.328,4365,34.8
Dump Truck,Generic,Excellent,6.5,18685,282844,152243,Alberta Canada,Mining Company,True,False,14,250,12,0.538,2870,13.9
Conveyor System,Komatsu,Fair,6.6,41834,1271131,414854,Chile,Rental Company,True,False,6,176,4,0.326,6376,76.3
Wheel Loader,Komatsu,Good,7.7,12427,423321,178659,Queensland,Equipment Dealer,False,False,8,229,2,0.422,1624,27.0
Crusher,Generic,Fair,10.8,33864,721173,183590,Alberta Canada,Equipment Dealer,True,False,8,182,10,0.255,3125,20.6
Wheel Loader,JCB,Excellent,3.2,5808,304279,206182,New South Wales,Construction Company,True,True,11,225,5,0.678,1796,13.0
Conveyor System,Komatsu,Good,7.3,40542,1104787,473091,Alberta Canada,Equipment Dealer,True,False,6,250,12,0.428,5581,31.5
Dump Truck,Caterpillar,Excellent,13.6,48802,370874,104252,Queensland,Equipment Dealer,True,False,8,197,2,0.281,3585,7.9
Bulldozer,Caterpillar,Good,11.6,21572,560407,154936,Queensland,Rental Company,True,True,8,205,4,0.276,1858,20.6
Crusher,JCB,Good,2.8,11085,881684,505920,Nevada USA,Rental Company,True,False,13,203,9,0.574,3991,24.7
Wheel Loader,Hitachi,Good,3.9,9314,345035,195210,Chile,Mining Company,True,False,6,139,11,0.566,2413,23.9
Excavator,Caterpillar,Fair,1.6,4195,577756,318153,Alberta Canada,Mining Company,True,True,12,169,7,0.551,2586,22.2
Dump Truck,Komatsu,Good,4.7,16648,356473,177804,Queensland,Equipment Dealer,True,False,7,228,5,0.499,3522,20.9
Dump Truck,JCB,Good,11.0,35260,350485,99460,Alberta Canada,Equipment Dealer,True,False,9,126,7,0.284,3202,14.5
Dump Truck,Caterpillar,Good,25.0,76000,465699,47274,New South Wales,Mining Company,False,True,9,124,12,0.102,3040,10.3
Bulldozer,Generic,Excellent,6.4,8700,359388,185206,Western Australia,Rental Company,True,False,4,130,12,0.515,1359,24.8
Bulldozer,JCB,Needs Repair,6.9,13296,592113,127473,Chile,Mining Company,False,True,7,226,4,0.215,1917,22.0
Crusher,Liebherr,Fair,25.0,128942,933995,70000,New South Wales,Mining Company,True,True,14,122,6,0.075,5158,15.1
Excavator,Liebherr,Fair,10.0,16989,550370,136905,New South Wales,Rental Company,False,False,9,217,2,0.249,1706,13.2
Crusher,Volvo,Needs Repair,2.5,9716,880357,292267,Chile,Rental Company,False,False,4,230,10,0.332,3944,50.8
Wheel Loader,Komatsu,Good,1.2,3177,417375,288874,New South Wales,Equipment Dealer,True,False,17,190,11,0.692,2549,18.9
Bulldozer,Komatsu,Fair,4.0,8513,520337,235423,Chile,Mining Company,True,True,10,204,11,0.452,2105,54.4
Conveyor System,Generic,Needs Repair,3.4,17303,882303,261908,Chile,Mining Company,True,True,13,227,2,0.297,5037,33.5
Conveyor System,Caterpillar,Excellent,1.6,11730,1404159,993733,Nevada USA,Mining Company,False,True,11,270,12,0.708,7208,37.6
Wheel Loader,Liebherr,Good,2.8,7027,294462,190743,South Africa,Rental Company,True,False,9,265,12,0.648,2478,19.8
Wheel Loader,Caterpillar,Good,1.8,4191,350370,216576,South Africa,Equipment Dealer,True,False,16,176,1,0.618,2331,20.3
Bulldozer,Caterpillar,Excellent,6.7,9046,645804,300706,Alberta Canada,Rental Company,True,False,9,165,8,0.466,1345,19.8
Bulldozer,JCB,Good,5.8,11749,559586,253721,South Africa,Equipment Dealer,True,True,10,232,12,0.453,2010,11.2
Crusher,Liebherr,Fair,1.8,6781,784010,386022,Alberta Canada,Mining Company,False,False,15,253,8,0.492,3838,45.4
Dump Truck,Generic,Good,6.1,22346,252936,121657,Nevada USA,Rental Company,False,False,9,225,10,0.481,3679,22.0
Wheel Loader,Generic,Good,2.5,4932,221634,129378,Chile,Mining Company,True,True,8,132,9,0.584,1991,19.6
Wheel Loader,Hitachi,Fair,11.0,24620,290921,74514,New South Wales,Construction Company,True,False,16,137,3,0.256,2232,28.7
Crusher,Caterpillar,Good,2.9,12548,1079397,613253,Chile,Rental Company,True,False,7,303,7,0.568,4300,40.9
Bulldozer,Komatsu,Excellent,1.3,2541,603563,519334,Queensland,Mining Company,False,False,8,154,2,0.86,1977,60.1
Dump Truck,Caterpillar,Fair,13.9,44515,397593,75470,South Africa,Equipment Dealer,True,False,10,178,1,0.19,3200,17.3
Dump Truck,Caterpillar,Fair,2.4,9071,465916,228372,Western Australia,Equipment Dealer,True,False,7,213,6,0.49,3775,43.7
Dump Truck,Liebherr,Fair,4.1,12831,373969,147992,Nevada USA,Mining Company,True,False,8,266,5,0.396,3126,29.7
Conveyor System,Komatsu,Fair,22.7,156415,1231693,107610,Queensland,Equipment Dealer,True,True,6,87,3,0.087,6890,18.3
Excavator,Caterpillar,Good,3.6,5962,545917,283720,Western Australia,Mining Company,True,False,8,187,5,0.52,1665,24.6
Wheel Loader,Generic,Good,9.1,24193,273397,100556,Western Australia,Construction Company,True,True,9,174,9,0.368,2661,14.3
Excavator,Liebherr,Good,12.9,26524,481800,134583,South Africa,Mining Company,True,True,11,230,7,0.279,2055,7.4
Excavator,Komatsu,Good,1.2,2983,597406,381457,Queensland,Mining Company,True,False,10,154,4,0.639,2463,44.8
Excavator,Caterpillar,Good,2.7,6580,468792,283458,Queensland,Mining Company,True,False,11,104,10,0.605,2409,24.0
Dump Truck,Volvo,Good,18.3,46186,391157,58478,South Africa,Rental Company,True,False,12,219,1,0.15,2519,9.1
Excavator,Komatsu,Good,12.0,18492,459873,124099,Western Australia,Equipment Dealer,True,False,12,208,1,0.27,1545,12.6
Bulldozer,Caterpillar,Excellent,15.1,20064,541482,145957,New South Wales,Rental Company,False,False,11,156,8,0.27,1324,17.7
Wheel Loader,Komatsu,Good,6.4,11466,345688,158661,Alberta Canada,Equipment Dealer,True,False,6,234,9,0.459,1791,12.1
Wheel Loader,Liebherr,Excellent,13.2,32763,373941,104659,Western Australia,Mining Company,True,False,8,155,11,0.28,2491,13.2
Wheel Loader,Caterpillar,Fair,4.6,9911,455530,177235,Alberta Canada,Mining Company,True,True,9,200,6,0.389,2174,15.5
Dump Truck,Caterpillar,Good,8.2,31761,446731,174965,New South Wales,Mining Company,False,False,7,203,12,0.392,3858,32.2
Excavator,Caterpillar,Needs Repair,4.7,6724,463891,113407,Alberta Canada,Equipment Dealer,True,False,15,235,7,0.244,1427,28.1
